population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Prevalence,Russian Federation,Both,35-39 years,Alcohol use disorders,Rate,2005,8027.555612,10366.08519,6207.81682
All Population,Prevalence,Russian Federation,Both,40-44 years,Alcohol use disorders,Number,2005,956240.741,1272315.689,707672.741
All Population,Prevalence,Russian Federation,Both,40-44 years,Alcohol use disorders,Percent,2005,0.083625551,0.111190431,0.061896992
All Population,Prevalence,Russian Federation,Both,40-44 years,Alcohol use disorders,Rate,2005,8344.299843,11102.41715,6175.258268
All Population,Prevalence,Russian Federation,Both,45-49 years,Alcohol use disorders,Number,2005,1106621.56,1386344.55,880583.0168
All Population,Prevalence,Russian Federation,Both,45-49 years,Alcohol use disorders,Percent,2005,0.089243551,0.111779983,0.071002162
All Population,Prevalence,Russian Federation,Both,45-49 years,Alcohol use disorders,Rate,2005,8912.572013,11165.42103,7092.089868
All Population,Prevalence,Russian Federation,Both,50-54 years,Alcohol use disorders,Number,2005,1029096.204,1341919.648,776536.0738
All Population,Prevalence,Russian Federation,Both,50-54 years,Alcohol use disorders,Percent,2005,0.094857532,0.123718585,0.071570555
All Population,Prevalence,Russian Federation,Both,50-54 years,Alcohol use disorders,Rate,2005,9478.423433,12359.66335,7152.234836
All Population,Prevalence,Poland,Both,15-19 years,Alcohol use disorders,Number,2005,19660.25356,28027.14058,12994.62861
All Population,Prevalence,Poland,Both,15-19 years,Alcohol use disorders,Percent,2005,0.006788253,0.009718306,0.004483558
All Population,Prevalence,Poland,Both,15-19 years,Alcohol use disorders,Rate,2005,644.5398277,918.8390325,426.014632
All Population,Prevalence,Poland,Both,20-24 years,Alcohol use disorders,Number,2005,74947.99165,99310.32527,54100.79916
All Population,Prevalence,Poland,Both,20-24 years,Alcohol use disorders,Percent,2005,0.022616258,0.029926688,0.016402402
All Population,Prevalence,Poland,Both,20-24 years,Alcohol use disorders,Rate,2005,2191.964231,2904.476504,1582.25743
All Population,Prevalence,Poland,Both,25-29 years,Alcohol use disorders,Number,2005,118081.7712,154374.6045,87135.38
All Population,Prevalence,Poland,Both,25-29 years,Alcohol use disorders,Percent,2005,0.037749429,0.049272034,0.027990335
All Population,Prevalence,Poland,Both,25-29 years,Alcohol use disorders,Rate,2005,3703.760823,4842.124284,2733.094222
All Population,Prevalence,Poland,Both,30-34 years,Alcohol use disorders,Number,2005,131118.9285,169377.0184,94820.27441
All Population,Prevalence,Poland,Both,30-34 years,Alcohol use disorders,Percent,2005,0.047210594,0.061061002,0.0342086
All Population,Prevalence,Poland,Both,30-34 years,Alcohol use disorders,Rate,2005,4665.165744,6026.375236,3373.672291
All Population,Prevalence,Poland,Both,35-39 years,Alcohol use disorders,Number,2005,127102.5453,162778.9248,98448.29855
All Population,Prevalence,Poland,Both,35-39 years,Alcohol use disorders,Percent,2005,0.052412,0.067073307,0.04054643
All Population,Prevalence,Poland,Both,35-39 years,Alcohol use disorders,Rate,2005,5205.443093,6666.557527,4031.917807
All Population,Prevalence,Poland,Both,40-44 years,Alcohol use disorders,Number,2005,143167.1042,192925.1136,104893.4741
All Population,Prevalence,Poland,Both,40-44 years,Alcohol use disorders,Percent,2005,0.054516776,0.07341843,0.039973558
All Population,Prevalence,Poland,Both,40-44 years,Alcohol use disorders,Rate,2005,5426.967648,7313.120954,3976.147269
All Population,Prevalence,Poland,Both,45-49 years,Alcohol use disorders,Number,2005,157842.6071,198262.6822,124006.0422
All Population,Prevalence,Poland,Both,45-49 years,Alcohol use disorders,Percent,2005,0.050205773,0.063050067,0.039472109
All Population,Prevalence,Poland,Both,45-49 years,Alcohol use disorders,Rate,2005,5005.865105,6287.758806,3932.762711
All Population,Prevalence,Poland,Both,50-54 years,Alcohol use disorders,Number,2005,139119.4585,183665.9368,103523.3688
All Population,Prevalence,Poland,Both,50-54 years,Alcohol use disorders,Percent,2005,0.045658744,0.06027284,0.033963468
All Population,Prevalence,Poland,Both,50-54 years,Alcohol use disorders,Rate,2005,4558.019634,6017.511533,3391.772457
All Population,Prevalence,France,Both,15-19 years,Alcohol use disorders,Number,2005,63637.71303,97737.4783,38406.21075
All Population,Prevalence,France,Both,15-19 years,Alcohol use disorders,Percent,2005,0.016584892,0.025188327,0.009969437
All Population,Prevalence,France,Both,15-19 years,Alcohol use disorders,Rate,2005,1550.278678,2380.983248,935.6139119
All Population,Prevalence,France,Both,20-24 years,Alcohol use disorders,Number,2005,159299.0112,244572.4506,98530.11729
All Population,Prevalence,France,Both,20-24 years,Alcohol use disorders,Percent,2005,0.04102497,0.062300047,0.025390488
All Population,Prevalence,France,Both,20-24 years,Alcohol use disorders,Rate,2005,3948.419515,6062.025303,2442.188655
All Population,Prevalence,France,Both,25-29 years,Alcohol use disorders,Number,2005,160971.9444,222774.9404,116237.5032
All Population,Prevalence,France,Both,25-29 years,Alcohol use disorders,Percent,2005,0.042381236,0.058485778,0.030625734
All Population,Prevalence,France,Both,25-29 years,Alcohol use disorders,Rate,2005,4138.611464,5727.575233,2988.482653
All Population,Prevalence,France,Both,30-34 years,Alcohol use disorders,Number,2005,171361.8479,227426.0898,118840.2297
All Population,Prevalence,France,Both,30-34 years,Alcohol use disorders,Percent,2005,0.039898581,0.052735835,0.027572816
All Population,Prevalence,France,Both,30-34 years,Alcohol use disorders,Rate,2005,3927.861892,5212.935564,2723.990287
All Population,Prevalence,France,Both,35-39 years,Alcohol use disorders,Number,2005,184059.7049,231927.5824,143666.9789
All Population,Prevalence,France,Both,35-39 years,Alcohol use disorders,Percent,2005,0.041619181,0.052400833,0.03243517
All Population,Prevalence,France,Both,35-39 years,Alcohol use disorders,Rate,2005,4119.5069,5190.855199,3215.462675
All Population,Prevalence,France,Both,40-44 years,Alcohol use disorders,Number,2005,189176.2474,239529.7446,150514.5166
All Population,Prevalence,France,Both,40-44 years,Alcohol use disorders,Percent,2005,0.042418329,0.053645974,0.033824625
All Population,Prevalence,France,Both,40-44 years,Alcohol use disorders,Rate,2005,4211.863495,5332.94534,3351.089826
All Population,Prevalence,France,Both,45-49 years,Alcohol use disorders,Number,2005,168313.1603,214065.6658,142400.4154
All Population,Prevalence,France,Both,45-49 years,Alcohol use disorders,Percent,2005,0.038978134,0.049646319,0.032982531
All Population,Prevalence,France,Both,45-49 years,Alcohol use disorders,Rate,2005,3879.37141,4933.899537,3282.120658
All Population,Prevalence,France,Both,50-54 years,Alcohol use disorders,Number,2005,146082.7348,194129.2663,123888.3665
All Population,Prevalence,France,Both,50-54 years,Alcohol use disorders,Percent,2005,0.034248429,0.045538405,0.029025836
All Population,Prevalence,France,Both,50-54 years,Alcohol use disorders,Rate,2005,3413.826281,4536.631877,2895.163223
All Population,Prevalence,Greece,Both,15-19 years,Alcohol use disorders,Number,2005,9850.368351,15368.98526,5517.269724
All Population,Prevalence,Greece,Both,15-19 years,Alcohol use disorders,Percent,2005,0.015899928,0.02516176,0.008850909
All Population,Prevalence,Greece,Both,15-19 years,Alcohol use disorders,Rate,2005,1500.914105,2341.793315,840.673938
