location,sex,age,year,percent_of_prevalence,upper,lower
Denmark,Female,20-24 years,2005,0.024321373643392,0.0397113129478478,0.0140584096456859
Denmark,Male,25-29 years,2005,0.0831206847906775,0.111438896550209,0.061389698163086
Denmark,Female,25-29 years,2005,0.0263618414584483,0.0366955876044517,0.0176561397500921
Denmark,Male,30-34 years,2005,0.082823925696057,0.1111201397769753,0.0601240953664517
Denmark,Female,30-34 years,2005,0.0255982314239648,0.0376011265238292,0.0163010978843343
Denmark,Male,35-39 years,2005,0.0855281107039878,0.1086665210020244,0.0666035917015276
Denmark,Female,35-39 years,2005,0.0268468185014934,0.0354820972120965,0.0190690768347054
Denmark,Male,40-44 years,2005,0.0901034179421473,0.1144963595976396,0.0697948038626933
Denmark,Female,40-44 years,2005,0.0280436669192525,0.0372916854676144,0.0203675642489867
Iceland,Male,15-19 years,2005,0.0216429209353609,0.033001683580725,0.0124703661932708
Iceland,Female,15-19 years,2005,0.0096576633375441,0.0153079402698484,0.0055101104629904
Iceland,Male,20-24 years,2005,0.0581955699825654,0.0874440757184924,0.036353358013725
Iceland,Female,20-24 years,2005,0.0215642494020796,0.0344878222082823,0.0122329633997858
Iceland,Male,25-29 years,2005,0.0630700354778281,0.0854143059138515,0.0430288195600649
Iceland,Female,25-29 years,2005,0.0203914810379729,0.0295621064026531,0.0133636466938467
Iceland,Male,30-34 years,2005,0.0590878223170693,0.0840452156948126,0.0378430440063348
Iceland,Female,30-34 years,2005,0.0170864470071093,0.0261654708974286,0.0102063864811382
Iceland,Male,35-39 years,2005,0.0541277621686862,0.0739112086197324,0.0387973485726145
Iceland,Female,35-39 years,2005,0.0156983235064587,0.0220516141230716,0.0101878246197097
Iceland,Male,40-44 years,2005,0.0494538328055502,0.0687733246540037,0.0348970228663371
Iceland,Female,40-44 years,2005,0.0143899008885947,0.0204369892585003,0.009548019927517
Malta,Male,15-19 years,2005,0.0217500384321254,0.0342333396318387,0.0123219020125214
Malta,Female,15-19 years,2005,0.0095876892746302,0.0151178125270258,0.0053708004573144
Malta,Male,20-24 years,2005,0.0560799612014698,0.0880148878483337,0.032855497314777
Malta,Female,20-24 years,2005,0.02131895696482,0.035296319703323,0.0118247291797894
Malta,Male,25-29 years,2005,0.056082420175816,0.0779173484380716,0.0384114297151268
Malta,Female,25-29 years,2005,0.0196913341287858,0.028410770039379,0.0124124287558545
Malta,Male,30-34 years,2005,0.0481339894154349,0.0718431754019781,0.0291298461498112
Malta,Female,30-34 years,2005,0.0158935126745732,0.0250869930006926,0.0091391155720653
Malta,Male,35-39 years,2005,0.0390584671652434,0.0543085827567663,0.0246861584531322
Malta,Female,35-39 years,2005,0.0136727050988499,0.0198761083725085,0.0083852109368803
Malta,Male,40-44 years,2005,0.0314003946513056,0.0458681204116367,0.0205175663818897
Malta,Female,40-44 years,2005,0.0116885923050525,0.01823945520044,0.0068961766771497
Israel,Male,15-19 years,2005,0.009162206059552,0.0142853282714427,0.005219285608867
Israel,Female,15-19 years,2005,0.0058721775694412,0.0092062685560078,0.0032560408877918
Israel,Male,20-24 years,2005,0.021717315187745,0.0337346500264161,0.0129280237203792
Israel,Female,20-24 years,2005,0.0121395422367991,0.019850990392386,0.0067855179433843
Israel,Male,25-29 years,2005,0.0230072600841148,0.0319522095110684,0.0154072341314317
Israel,Female,25-29 years,2005,0.0115430135392804,0.0165495800694878,0.0073880973504098
Israel,Male,30-34 years,2005,0.0217760433453245,0.0312858748089433,0.013382081410769
Israel,Female,30-34 years,2005,0.0097980586242479,0.0149546923552127,0.0056522360888558
Israel,Male,35-39 years,2005,0.0201324441614605,0.0269458189960309,0.014586424526393
Israel,Female,35-39 years,2005,0.0085177063832379,0.0125008761931763,0.005289652913292
Israel,Male,40-44 years,2005,0.0182803643957763,0.0245234680231539,0.0132751991049359
Israel,Female,40-44 years,2005,0.0073460701915406,0.0114635953531552,0.0043692358503382
France,Male,15-19 years,2005,0.0227368782391637,0.0342667416861886,0.0135482260110122
France,Female,15-19 years,2005,0.0105374608871644,0.0164602928876213,0.0062053774466518
France,Male,20-24 years,2005,0.0588069486993738,0.0888450074905907,0.0369439514288722
France,Female,20-24 years,2005,0.0238605720524563,0.0377665645245755,0.0134217327184365
