Title,Year,% of Pop. Abstainers,NumericValue,Min,Max
Denmark,2015,22.4 [21.2 - 23.5],22.374123,21.1988213,23.5494247
Latvia,2018,31.0 [29.1 - 32.9],31.0069331,29.0932817,32.9205846
Belarus,2011,35.0 [32.4 - 37.7],35.0328056,32.3899765,37.6756347
Portugal,2012,22.8 [21.6 - 24.1],22.8399362,21.596629,24.0832434
Russian Federation,2011,26.3 [24.8 - 27.8],26.3013652,24.8189314,27.7837989
Belarus,2017,39.2 [36.6 - 41.8],39.1665596,36.5651684,41.7679509
Republic of Moldova,2004,37.1 [34.5 - 39.7],37.0848921,34.5062107,39.6635736
Georgia,2001,49.1 [45.8 - 52.3],49.0912738,45.845462,52.3370857
Cyprus,2002,28.3 [26.6 - 30.1],28.3257962,26.562875,30.0887173
Italy,2015,17.3 [16.3 - 18.2],17.2607547,16.3171189,18.2043905
Norway,2013,29.3 [27.3 - 31.3],29.2914298,27.2783189,31.3045407
Denmark,2004,28.2 [26.8 - 29.6],28.2291666,26.8443629,29.6139702
Latvia,2004,27.4 [25.4 - 29.4],27.3818867,25.3507807,29.4129927
Belarus,2006,37.0 [34.4 - 39.5],36.985763,34.4338488,39.5376773
Estonia,2003,26.1 [24.2 - 28.0],26.1155716,24.2454688,27.9856744
Croatia,2012,30.9 [29.3 - 32.4],30.8913847,29.3387581,32.4440114
Iceland,2018,20.3 [19.1 - 21.5],20.3117169,19.0828927,21.5405412
Slovakia,2003,37.0 [35.0 - 39.0],37.016092,35.0401994,38.9919847
Romania,2020,24.1 [22.2 - 26.0],24.1049056,22.2254968,25.9843143
Bulgaria,2013,24.4 [23.0 - 25.9],24.4277497,22.9762462,25.8792532
Greece,2012,26.7 [25.2 - 28.1],26.6531385,25.214287,28.09199
Cyprus,2019,31.5 [29.4 - 33.5],31.481017,29.4227105,33.5393236
Uzbekistan,2003,78.6 [74.1 - 83.1],78.6144834,74.0847552,83.1442115
Italy,2020,26.8 [25.4 - 28.2],26.7865797,25.4190494,28.1541101
Ukraine,2004,24.2 [22.3 - 26.2],24.2406305,22.3102715,26.1709895
Russian Federation,2005,51.0 [48.5 - 53.5],50.9966466,48.5275367,53.4657565
Norway,2010,15.6 [14.6 - 16.5],15.5528421,14.5622318,16.5434524
Switzerland,2013,25.9 [24.4 - 27.5],25.9383853,24.3764917,27.5002789
Türkiye,2006,86.8 [84.7 - 88.8],86.7640176,84.7149131,88.8131221
Andorra,2019,16.5 [15.5 - 17.6],16.531805,15.4770134,17.5865966
Bosnia and Herzegovina,2010,69.6 [65.6 - 73.6],69.6185682,65.6453219,73.5918144
Andorra,2009,16.2 [15.1 - 17.2],16.1840716,15.1286362,17.2395071
Tajikistan,2006,93.1 [90.4 - 95.7],93.0568139,90.4491772,95.6644507
Azerbaijan,2010,79.1 [74.4 - 83.9],79.1499459,74.3555557,83.9443361
Italy,2008,25.9 [24.6 - 27.2],25.8993107,24.593494,27.2051275
Italy,2006,16.8 [15.9 - 17.7],16.8022889,15.8637653,17.7408125
Switzerland,2016,19.8 [18.5 - 21.1],19.8337278,18.517456,21.1499997
Norway,2000,33.4 [31.7 - 35.1],33.4249422,31.7459598,35.1039246
Armenia,2017,50.1 [46.8 - 53.4],50.0661298,46.7505615,53.3816981
Poland,2014,18.5 [17.5 - 19.5],18.5118211,17.5261578,19.4974845
Kyrgyzstan,2010,79.9 [75.9 - 83.8],79.8511605,75.9131332,83.7891878
Andorra,2002,15.7 [14.7 - 16.8],15.7369515,14.6973611,16.7765418
Czechia,2016,17.3 [16.3 - 18.3],17.3119645,16.3133108,18.3106182
Republic of Moldova,2008,22.2 [20.4 - 24.0],22.1898889,20.3893382,23.9904396
Czechia,2020,33.4 [31.6 - 35.2],33.4365692,31.6306111,35.2425273
France,2017,29.9 [28.5 - 31.4],29.9469604,28.4524367,31.4414841
Denmark,2010,21.7 [20.6 - 22.8],21.7416351,20.6476152,22.835655
